 time      seg dst      amp      flag
 4808      1   2.378    291.784  1  
 4808      7   2.275    522.159  9  
 4808      6   2.239    525.792  9  
 4808      5   2.213    538.325  9  
 4808      4   2.224    529.853  9  
 4808      3   2.239    532.960  9  
 4808      2   2.284    519.095  9  
 4808      1   2.378    291.784  1  
 4927      7   2.448    496.538  9  
 4927      6   2.393    513.870  9  
 4927      5   2.333    530.430  9  
 4927      4   2.345    525.655  9  
 4927      3   2.355    528.858  9  
 4927      2   2.405    514.357  9  
 4927      1   2.467    401.419  1  
 4927      7   2.448    496.538  9  
 4927      6   2.393    513.870  9  
 4927      5   2.333    530.430  9  
 4927      4   2.345    525.655  9  
 4927      3   2.355    528.858  9  
 4927      2   2.405    514.357  9  
 4927      1   2.467    401.419  1  
 5041      7   2.591    369.928  1  
 5041      6   2.529    509.812  9  
 5041      5   2.466    525.585  9  
 5041      4   2.468    521.387  9  
 5041      3   2.469    527.151  9  
 5041      2   2.520    510.874  9  
 5041      1   2.580    466.798  9  
 5041      7   2.591    369.928  1  
 5041      6   2.529    509.812  9  
 5041      5   2.466    525.585  9  
 5041      4   2.468    521.387  9  
 5041      3   2.469    527.151  9  
 5041      2   2.520    510.874  9  
 5041      1   2.580    466.798  9  
 5099      7   2.661    296.256  1  
 5099      6   2.593    502.352  9  
 5099      5   2.527    522.810  9  
 5099      4   2.524    518.857  9  
 5099      3   2.517    525.474  9  
 5099      2   2.578    507.128  9  
 5099      1   2.627    453.426  9  
 5099      7   2.661    296.256  1  
 5099      6   2.593    502.352  9  
 5099      5   2.527    522.810  9  
 5099      4   2.524    518.857  9  
 5099      3   2.517    525.474  9  
 5099      2   2.578    507.128  9  
 5099      1   2.627    453.426  9  
 5211      7   2.782    108.707  1  
 5211      6   2.706    272.064  1  
 5211      5   2.643    344.921  1  
 5211      4   2.624    346.896  1  
 5211      3   2.617    373.117  1  
 5211      2   2.723    279.867  1  
 5211      1   2.812    178.175  1  
 5211      7   2.782    108.707  1  
 5211      6   2.706    272.064  1  
 5211      5   2.643    344.921  1  
 5211      4   2.624    346.896  1  
 5211      3   2.617    373.117  1  
 5211      2   2.723    279.867  1  
 5211      1   2.812    178.175  1  
 5272      7   2.839    101.254  1  
 5272      6   2.757    262.290  1  
 5272      5   2.695    332.790  1  
 5272      4   2.675    334.320  1  
 5272      3   2.670    359.219  1  
 5272      2   2.756    268.310  1  
 5272      1   2.838    146.500  1  
 5272      7   2.839    101.254  1  
 5272      6   2.757    262.290  1  
 5272      5   2.695    332.790  1  
 5272      4   2.675    334.320  1  
 5272      3   2.670    359.219  1  
 5272      2   2.756    268.310  1  
 5272      1   2.838    146.500  1  
 5382      7   2.939    103.135  1  
 5382      6   2.855    250.605  1  
 5382      5   2.794    315.636  1  
 5382      4   2.776    312.056  1  
 5382      3   2.772    328.869  1  
 5382      2   2.849    234.141  1  
 5382      1   2.937    79.645   1  
 5382      7   2.939    103.135  1  
 5382      6   2.855    250.605  1  
 5382      5   2.794    315.636  1  
 5382      4   2.776    312.056  1  
 5382      3   2.772    328.869  1  
 5382      2   2.849    234.141  1  
 5382      1   2.937    79.645   1  
 5501      7   3.043    128.560  1  
 5501      6   2.964    240.576  1  
 5501      5   2.908    301.505  1  
 5501      4   2.887    290.854  1  
 5501      3   2.891    280.449  1  
 5501      2   2.965    184.301  1  
 5501      1   3.124    21.912   1  
 5501      7   3.043    128.560  1  
 5501      6   2.964    240.576  1  
 5501      5   2.908    301.505  1  
 5501      4   2.887    290.854  1  
 5501      3   2.891    280.449  1  
 5501      2   2.965    184.301  1  
 5501      1   3.124    21.912   1  
 5558      7   3.094    146.644  1  
 5558      6   3.018    233.344  1  
 5558      5   2.964    296.745  1  
 5558      4   2.945    283.441  1  
 5558      3   2.957    263.860  1  
 5558      2   3.028    150.691  1  
 5558      7   3.094    146.644  1  
 5558      6   3.018    233.344  1  
 5558      5   2.964    296.745  1  
 5558      4   2.945    283.441  1  
 5558      3   2.957    263.860  1  
 5558      2   3.028    150.691  1  
 5672      7   3.193    174.769  1  
 5672      6   3.118    221.954  1  
 5672      5   3.069    282.250  1  
